Price,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Rolling_Mean_20,Rolling_STD_20,Close_Scaled
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,,,,,
2023-10-23,406.4993896484375,420.4599914550781,424.45001220703125,417.79998779296875,419.6099853515625,92035100,-0.0017332106225139698,428.7095001220703,5.027996033724566,0.4119921417673805
2023-10-24,409.56414794921875,423.6300048828125,424.82000732421875,420.739990234375,422.6499938964844,78564200,0.0075393937405647815,428.5970001220703,5.118985517116464,0.41748886176673916
2023-10-25,403.6860046386719,417.54998779296875,421.9200134277344,417.0199890136719,421.8900146484375,94223200,-0.014352187096675628,428.1720001220703,5.665281854646996,0.40694627187049637
2023-10-26,398.8520202636719,412.54998779296875,417.3299865722656,411.6000061035156,416.45001220703125,115156800,-0.011974614168780984,427.37350006103514,6.65300516724249,0.39827640323324076
2023-10-27,397.04412841796875,410.67999267578125,414.6000061035156,409.2099914550781,414.19000244140625,107367700,-0.004532772203415858,426.5334991455078,7.627984802631511,0.3950338808295758
2023-10-30,401.7911071777344,415.5899963378906,416.67999267578125,412.2200012207031,413.55999755859375,86562700,0.011955789786880722,425.94749908447267,8.00600522410169,0.40354769818136216
2023-10-31,404.3144226074219,418.20001220703125,418.5299987792969,414.2099914550781,416.17999267578125,79665200,0.006280266349381947,425.7779998779297,8.137914502104904,0.40807339712668256
2023-11-01,408.6263732910156,422.6600036621094,423.5,418.6499938964844,419.20001220703125,98068100,0.010664732962442303,425.67799987792966,8.164620019814317,0.4158069051344444
2023-11-02,416.45745849609375,430.760009765625,430.9200134277344,426.55999755859375,426.5799865722656,94938900,0.019164354406221662,425.9910003662109,8.236756949840068,0.4298521029101342
2023-11-03,420.2569274902344,434.69000244140625,436.2900085449219,433.010009765625,433.1400146484375,100167800,0.009123392577504053,426.24850006103514,8.431738885897078,0.43666660695901416
2023-11-06,421.22369384765625,435.69000244140625,436.1499938964844,433.67999267578125,435.4700012207031,67831700,0.002300489991450494,426.4184997558594,8.592696827667371,0.43840058068646526
2023-11-07,422.42254638671875,436.92999267578125,437.5899963378906,434.510009765625,435.69000244140625,64256100,0.0028460378421049093,426.53799896240236,8.727154578969534,0.44055069117516743
2023-11-08,422.7319641113281,437.25,438.0899963378906,434.8699951171875,437.54998779296875,61746000,0.0007323995367289893,426.5844985961914,8.784308223008093,0.4411055754679547
2023-11-09,419.4351806640625,433.8399963378906,438.4700012207031,433.3999938964844,438.42999267578125,83174400,-0.007798750513686392,426.59349822998047,8.792027500594978,0.435192718707345
2023-11-10,425.9803161621094,440.6099853515625,440.92999267578125,433.8299865722656,435.9800109863281,89462200,0.01560480608246917,427.0489974975586,9.281939916928994,0.44693170179218467
2023-11-13,425.5743103027344,440.19000244140625,441.3299865722656,438.4200134277344,439.2300109863281,52236100,-0.0009531851844464256,427.2564971923828,9.536413241171651,0.4462034624599953
2023-11-14,433.83074951171875,448.7300109863281,450.05999755859375,446.0899963378906,446.32000732421875,97176900,0.019400732632628648,427.8919982910156,10.52354789445568,0.46101161290909776
2023-11-15,434.7491455078125,449.67999267578125,451.3800048828125,448.79998779296875,450.1099853515625,77327600,0.0021170451411640645,428.8654983520508,11.595247903834837,0.4626588562001691
2023-11-16,435.28094482421875,450.2300109863281,450.55999755859375,448.1199951171875,449.2200012207031,66665800,0.001223132715498565,430.0554992675781,12.51679792097977,0.4636125735002745
2023-11-17,435.8223876953125,450.7900085449219,451.4200134277344,449.2900085449219,450.239990234375,83133200,0.0012438032670611943,431.5354995727539,13.147441609500246,0.46458359455431275
2023-11-20,439.1771545410156,454.260009765625,455.1300048828125,450.5199890136719,450.5299987792969,69936200,0.00769760011297449,433.2255004882812,13.804773427257956,0.47060048550523526
2023-11-21,438.2200012207031,453.2699890136719,454.1300048828125,451.9599914550781,453.17999267578125,49244600,-0.0021794142796411897,434.7074996948242,14.302456854729595,0.4688838155317172
2023-11-22,439.91192626953125,455.0199890136719,456.3800048828125,453.8900146484375,454.9800109863281,59394900,0.0038608335923762116,436.58099975585935,14.390534402934106,0.4719182695547567
2023-11-24,440.18255615234375,455.29998779296875,455.5,454.7300109863281,455.07000732421875,29737400,0.0006153548988119262,438.7184997558594,13.795870815900606,0.47240378008177575
2023-11-27,439.38983154296875,454.4800109863281,455.489990234375,454.0799865722656,454.6499938964844,50506000,-0.0018009594303206589,440.9085006713867,12.528998482677254,0.47098196184194174
2023-11-28,439.8249206542969,454.92999267578125,456.2699890136719,453.5,454.0799865722656,62115000,0.000990102267592663,442.87550048828126,11.380347944339352,0.47176221826928744
2023-11-29,439.5155029296875,454.6099853515625,458.32000732421875,454.20001220703125,457.1499938964844,63146000,-0.0007034210304239785,444.6959991455078,10.061045705877786,0.4712073339765003
2023-11-30,441.24603271484375,456.3999938964844,456.760009765625,453.3399963378906,455.4800109863281,79752700,0.003937459806426347,446.38299865722655,8.93764134184934,0.47431116176530774
2023-12-01,443.8564147949219,459.1000061035156,459.6499938964844,455.1600036621094,455.7699890136719,89183400,0.005915890103284305,447.7999984741211,8.569327030063565,0.4789929119960973
2023-12-04,441.5264587402344,456.69000244140625,459.1199951171875,454.3399963378906,455.6000061035156,72430900,-0.005249408908885922,448.8999984741211,8.20203480458191,0.47481402896293856
2023-12-05,441.439453125,456.6000061035156,457.5899963378906,454.8699951171875,455.260009765625,69793500,-0.00019706220282800224,449.94549865722655,7.749766833255685,0.4746579776774694
2023-12-06,439.6605529785156,454.760009765625,458.8399963378906,454.30999755859375,458.80999755859375,69124700,-0.004029777295871284,450.8369995117188,7.178181411733538,0.4714674723689608
2023-12-07,443.01531982421875,458.2300109863281,458.8999938964844,456.2900085449219,456.9100036621094,66995400,0.007630400972353568,451.88600006103513,6.597613201191853,0.4774843633198833
2023-12-08,444.9198913574219,460.20001220703125,460.75,457.2099914550781,457.4599914550781,83194400,0.004299153642212783,453.20400085449216,5.310186461465937,0.48090029367962916
2023-12-11,446.6504821777344,461.989990234375,462.1700134277344,459.4700012207031,459.69000244140625,65002200,0.003889565362589442,454.2730010986328,4.765515807455582,0.48400406855175804
2023-12-12,448.6903991699219,464.1000061035156,464.20001220703125,460.6000061035156,461.6300048828125,68327600,0.004567232870283933,455.46850128173827,3.9811889241219096,0.4876627806333528
2023-12-13,454.87786865234375,470.5,470.760009765625,464.1199951171875,464.489990234375,93278000,0.013790118104538118,456.5570007324219,4.909654939715712,0.49876020190570414
2023-12-14,456.3377685546875,472.010009765625,473.7300109863281,469.25,472.5,119026000,0.003209372509298536,457.6735015869141,5.733375446141287,0.5013785191674925
2023-12-15,455.5863952636719,469.3299865722656,470.70001220703125,467.42999267578125,469.489990234375,141553700,-0.00567789482831127,458.6285003662109,6.012215296445304,0.4967314293612477
2023-12-18,458.1491394042969,471.9700012207031,472.9800109863281,469.8900146484375,470.9800109863281,70375300,0.0056250713228847005,459.6875,6.410977465402428,0.5013091454017244
2023-12-19,460.9350891113281,474.8399963378906,474.9200134277344,472.45001220703125,472.5299987792969,55761800,0.0060808846108111325,460.7164993286133,7.10772638099901,0.5062856415328405
2023-12-20,454.5477600097656,468.260009765625,475.8999938964844,467.82000732421875,473.9599914550781,102921000,-0.013857271129248727,461.46600036621095,7.071420275608237,0.49487611768955087
2023-12-21,458.8577880859375,472.70001220703125,472.9800109863281,468.8399963378906,471.3299865722656,86667500,0.00948191677446153,462.3500015258789,7.323780689780694,0.5025749652727681
2023-12-22,459.7799377441406,473.6499938964844,475.3800048828125,471.70001220703125,473.8599853515625,67160400,0.0020096925426713597,463.2675018310547,7.5403074975327185,0.5042222085638395
2023-12-26,461.7214050292969,475.6499938964844,476.5799865722656,473.989990234375,474.07000732421875,55387000,0.004222527236930729,464.3260009765625,7.72544058213214,0.5076901560187417
2023-12-27,462.55621337890625,476.510009765625,476.6600036621094,474.8900146484375,475.44000244140625,68000300,0.0018080855254416495,465.4050018310547,7.850063536037504,0.5091814009410225
2023-12-28,462.7309265136719,476.69000244140625,477.54998779296875,476.260009765625,476.8800048828125,77158100,0.00037773115379002853,466.5090026855469,7.804482359601797,0.5094935035119609
2023-12-29,461.3913269042969,475.30999755859375,477.0299987792969,473.29998779296875,476.489990234375,122283100,-0.002894973411954771,467.45450286865236,7.659445470028084,0.5071006113014097
2024-01-02,458.8092346191406,472.6499938964844,473.6700134277344,470.489990234375,472.1600036621094,123623700,-0.005596355380219964,468.13200225830076,7.478708006982695,0.5024882348363883
2024-01-03,455.062255859375,468.7900085449219,471.19000244140625,468.1700134277344,470.42999267578125,103585900,-0.008166688673242328,468.73700256347655,6.9769677499709895,0.49579512164843276
2024-01-04,453.5964660644531,467.2799987792969,470.9599914550781,467.04998779296875,468.29998779296875,84232200,-0.0032210792425203527,469.2710021972656,6.382527817486614,0.49317680438664446
2024-01-05,454.2177734375,467.9200134277344,470.44000244140625,466.42999267578125,467.489990234375,86118900,0.00136965984015891,469.9290023803711,5.412429894835739,0.4942865729722189
2024-01-08,460.7021484375,474.6000061035156,474.75,468.29998779296875,468.42999267578125,74879100,0.014275928543528549,470.7475021362305,4.747002317810054,0.5058695047715894
